sample	chr	hom	start	end	donor
Sim33	10	H1	0	150873537	Mo17
Sim33	10	H2	0	138075375	B73
Sim33	10	H2	138075376	144127063	Mo17
Sim33	10	H2	144127064	150873537	B73
Sim34	10	H1	0	150873537	B73
Sim34	10	H2	0	150873537	Mo17
Sim35	10	H1	0	110613748	Mo17
Sim35	10	H1	110613749	150873537	B73
Sim35	10	H2	0	150873537	B73
Sim36	10	H1	0	132334806	B73
Sim36	10	H1	132334807	140803680	Mo17
Sim36	10	H1	140803681	144710454	B73
Sim36	10	H1	144710455	150283140	Mo17
Sim36	10	H1	150283141	150873537	B73
Sim36	10	H2	0	5372832	Mo17
Sim36	10	H2	5372833	68270918	B73
Sim36	10	H2	68270919	79843978	Mo17
Sim36	10	H2	79843979	147058253	B73
Sim36	10	H2	147058254	150873537	Mo17
Sim37	10	H1	0	150873537	B73
Sim37	10	H2	0	150873537	Mo17
Sim38	10	H1	0	150873537	Mo17
Sim38	10	H2	0	147180027	Mo17
Sim38	10	H2	147180028	150873537	B73
Sim39	10	H1	0	150873537	Mo17
Sim39	10	H2	0	150873537	Mo17
Sim40	10	H1	0	4884037	Mo17
Sim40	10	H1	4884038	150873537	B73
Sim40	10	H2	0	150873537	Mo17
Sim41	10	H1	0	131651726	Mo17
Sim41	10	H1	131651727	141743795	B73
Sim41	10	H1	141743796	150149495	Mo17
Sim41	10	H1	150149496	150246465	B73
Sim41	10	H1	150246466	150873537	Mo17
Sim41	10	H2	0	150873537	B73
Sim42	10	H1	0	150873537	B73
Sim42	10	H2	0	150873537	B73
Sim43	10	H1	0	135231029	B73
Sim43	10	H1	135231030	141473418	Mo17
Sim43	10	H1	141473419	150873537	B73
Sim43	10	H2	0	150873537	Mo17
Sim44	10	H1	0	150873537	Mo17
Sim44	10	H2	0	4665037	B73
Sim44	10	H2	4665038	136463994	Mo17
Sim44	10	H2	136463995	141291461	B73
Sim44	10	H2	141291462	143363738	Mo17
Sim44	10	H2	143363739	150873537	B73
Sim45	10	H1	0	143893694	Mo17
Sim45	10	H1	143893695	149536285	B73
Sim45	10	H1	149536286	150873537	Mo17
Sim45	10	H2	0	150873537	B73
Sim46	10	H1	0	143901022	Mo17
Sim46	10	H1	143901023	150873537	B73
Sim46	10	H2	0	150873537	B73
Sim47	10	H1	0	150873537	Mo17
Sim47	10	H2	0	141364048	Mo17
Sim47	10	H2	141364049	150873537	B73
Sim48	10	H1	0	144111300	Mo17
Sim48	10	H1	144111301	150873537	B73
Sim48	10	H2	0	150873537	Mo17
Sim49	10	H1	0	150873537	Mo17
Sim49	10	H2	0	147996234	Mo17
Sim49	10	H2	147996235	150608767	B73
Sim49	10	H2	150608768	150873537	Mo17
Sim50	10	H1	0	141893250	Mo17
Sim50	10	H1	141893251	150873537	B73
Sim50	10	H2	0	146984761	Mo17
Sim50	10	H2	146984762	150873537	B73
Sim51	10	H1	0	150873537	Mo17
Sim51	10	H2	0	150873537	Mo17
Sim52	10	H1	0	100055124	B73
Sim52	10	H1	100055125	150873537	Mo17
Sim52	10	H2	0	150873537	B73
Sim53	10	H1	0	146179608	B73
Sim53	10	H1	146179609	149753712	Mo17
Sim53	10	H1	149753713	150873537	B73
Sim53	10	H2	0	150605737	B73
Sim53	10	H2	150605738	150873537	Mo17
Sim54	10	H1	0	150873537	B73
Sim54	10	H2	0	146840668	Mo17
Sim54	10	H2	146840669	150873537	B73
Sim55	10	H1	0	150873537	Mo17
Sim55	10	H2	0	117902630	B73
Sim55	10	H2	117902631	150873537	Mo17
Sim56	10	H1	0	150873537	B73
Sim56	10	H2	0	4716130	B73
Sim56	10	H2	4716131	6296057	Mo17
Sim56	10	H2	6296058	138513736	B73
Sim56	10	H2	138513737	150873537	Mo17
Sim57	10	H1	0	150873537	Mo17
Sim57	10	H2	0	150873537	Mo17
Sim58	10	H1	0	140410234	B73
Sim58	10	H1	140410235	150873537	Mo17
Sim58	10	H2	0	150873537	Mo17
Sim59	10	H1	0	142388485	B73
Sim59	10	H1	142388486	143348827	Mo17
Sim59	10	H1	143348828	150107157	B73
Sim59	10	H1	150107158	150873537	Mo17
Sim59	10	H2	0	150873537	B73
Sim60	10	H1	0	150873537	B73
Sim60	10	H2	0	150873537	B73
Sim61	10	H1	0	150873537	Mo17
Sim61	10	H2	0	150873537	B73
Sim62	10	H1	0	142140035	B73
Sim62	10	H1	142140036	146380802	Mo17
Sim62	10	H1	146380803	150873537	B73
Sim62	10	H2	0	8033336	B73
Sim62	10	H2	8033337	87585549	Mo17
Sim62	10	H2	87585550	150873537	B73
Sim63	10	H1	0	73475093	B73
Sim63	10	H1	73475094	149771253	Mo17
Sim63	10	H1	149771254	150873537	B73
Sim63	10	H2	0	150873537	Mo17
Sim64	10	H1	0	13791312	B73
Sim64	10	H1	13791313	148285419	Mo17
Sim64	10	H1	148285420	150873537	B73
Sim64	10	H2	0	147351635	Mo17
Sim64	10	H2	147351636	150873537	B73
Sim65	10	H1	0	91545522	Mo17
Sim65	10	H1	91545523	117132390	B73
Sim65	10	H1	117132391	150873537	Mo17
Sim65	10	H2	0	150873537	B73
Sim66	10	H1	0	11507118	B73
Sim66	10	H1	11507119	85767165	Mo17
Sim66	10	H1	85767166	93425260	B73
Sim66	10	H1	93425261	134125947	Mo17
Sim66	10	H1	134125948	150873537	B73
Sim66	10	H2	0	131787299	B73
Sim66	10	H2	131787300	145794283	Mo17
Sim66	10	H2	145794284	148378171	B73
Sim66	10	H2	148378172	150873537	Mo17
Sim67	10	H1	0	143201966	Mo17
Sim67	10	H1	143201967	150873537	B73
Sim67	10	H2	0	140494694	B73
Sim67	10	H2	140494695	150873537	Mo17
Sim68	10	H1	0	150873537	B73
Sim68	10	H2	0	150873537	Mo17
Sim69	10	H1	0	150873537	B73
Sim69	10	H2	0	5443871	Mo17
Sim69	10	H2	5443872	145889075	B73
Sim69	10	H2	145889076	150873537	Mo17
Sim70	10	H1	0	150873537	Mo17
Sim70	10	H2	0	147813270	Mo17
Sim70	10	H2	147813271	150873537	B73
Sim71	10	H1	0	150873537	Mo17
Sim71	10	H2	0	3693069	Mo17
Sim71	10	H2	3693070	13827484	B73
Sim71	10	H2	13827485	150873537	Mo17
Sim72	10	H1	0	150873537	B73
Sim72	10	H2	0	150873537	Mo17
Sim73	10	H1	0	150873537	Mo17
Sim73	10	H2	0	150873537	B73
Sim74	10	H1	0	150873537	B73
Sim74	10	H2	0	135137793	Mo17
Sim74	10	H2	135137794	143638839	B73
Sim74	10	H2	143638840	149543325	Mo17
Sim74	10	H2	149543326	150873537	B73
Sim75	10	H1	0	81753832	Mo17
Sim75	10	H1	81753833	150229613	B73
Sim75	10	H1	150229614	150873537	Mo17
Sim75	10	H2	0	150873537	Mo17
Sim76	10	H1	0	148784847	Mo17
Sim76	10	H1	148784848	150873537	B73
Sim76	10	H2	0	143052530	Mo17
Sim76	10	H2	143052531	150873537	B73
Sim77	10	H1	0	8222766	B73
Sim77	10	H1	8222767	141760429	Mo17
Sim77	10	H1	141760430	149121351	B73
Sim77	10	H1	149121352	150873537	Mo17
Sim77	10	H2	0	150873537	B73
Sim78	10	H1	0	149381274	B73
Sim78	10	H1	149381275	150873537	Mo17
Sim78	10	H2	0	142806430	Mo17
Sim78	10	H2	142806431	150873537	B73
Sim79	10	H1	0	143835495	B73
Sim79	10	H1	143835496	150873537	Mo17
Sim79	10	H2	0	6403030	B73
Sim79	10	H2	6403031	16233856	Mo17
Sim79	10	H2	16233857	150873537	B73
Sim80	10	H1	0	66479309	B73
Sim80	10	H1	66479310	150873537	Mo17
Sim80	10	H2	0	150873537	Mo17
Sim81	10	H1	0	150873537	Mo17
Sim81	10	H2	0	146552377	Mo17
Sim81	10	H2	146552378	150873537	B73
Sim82	10	H1	0	150873537	Mo17
Sim82	10	H2	0	124272510	B73
Sim82	10	H2	124272511	150873537	Mo17
Sim83	10	H1	0	140422839	B73
Sim83	10	H1	140422840	150873537	Mo17
Sim83	10	H2	0	150873537	Mo17
Sim84	10	H1	0	150873537	Mo17
Sim84	10	H2	0	145659079	Mo17
Sim84	10	H2	145659080	150873537	B73
Sim85	10	H1	0	150873537	Mo17
Sim85	10	H2	0	150873537	B73
Sim86	10	H1	0	149839349	Mo17
Sim86	10	H1	149839350	150873537	B73
Sim86	10	H2	0	136541877	B73
Sim86	10	H2	136541878	150873537	Mo17
Sim87	10	H1	0	150873537	Mo17
Sim87	10	H2	0	150873537	B73
Sim88	10	H1	0	150873537	Mo17
Sim88	10	H2	0	150873537	B73
Sim89	10	H1	0	130733874	Mo17
Sim89	10	H1	130733875	148968818	B73
Sim89	10	H1	148968819	150873537	Mo17
Sim89	10	H2	0	150873537	Mo17
Sim90	10	H1	0	150873537	Mo17
Sim90	10	H2	0	150873537	Mo17
Sim91	10	H1	0	150873537	B73
Sim91	10	H2	0	150873537	Mo17
Sim92	10	H1	0	125517353	B73
Sim92	10	H1	125517354	150873537	Mo17
Sim92	10	H2	0	23690712	Mo17
Sim92	10	H2	23690713	122351835	B73
Sim92	10	H2	122351836	138791393	Mo17
Sim92	10	H2	138791394	150501028	B73
Sim92	10	H2	150501029	150679951	Mo17
Sim92	10	H2	150679952	150873537	B73
Sim93	10	H1	0	128989797	Mo17
Sim93	10	H1	128989798	134571266	B73
Sim93	10	H1	134571267	140481484	Mo17
Sim93	10	H1	140481485	150873537	B73
Sim93	10	H2	0	148619103	B73
Sim93	10	H2	148619104	150873537	Mo17
Sim94	10	H1	0	138913334	Mo17
Sim94	10	H1	138913335	141792005	B73
Sim94	10	H1	141792006	150873537	Mo17
Sim94	10	H2	0	138511030	Mo17
Sim94	10	H2	138511031	143229493	B73
Sim94	10	H2	143229494	147304636	Mo17
Sim94	10	H2	147304637	149362686	B73
Sim94	10	H2	149362687	150873537	Mo17
Sim95	10	H1	0	23952206	B73
Sim95	10	H1	23952207	150873537	Mo17
Sim95	10	H2	0	150873537	Mo17
Sim96	10	H1	0	150873537	B73
Sim96	10	H2	0	146973985	Mo17
Sim96	10	H2	146973986	147526184	B73
Sim96	10	H2	147526185	150873537	Mo17
Sim97	10	H1	0	134805066	Mo17
Sim97	10	H1	134805067	150873537	B73
Sim97	10	H2	0	133995128	B73
Sim97	10	H2	133995129	142387006	Mo17
Sim97	10	H2	142387007	150873537	B73
Sim98	10	H1	0	81649148	B73
Sim98	10	H1	81649149	150873537	Mo17
Sim98	10	H2	0	150873537	Mo17
Sim99	10	H1	0	81750196	B73
Sim99	10	H1	81750197	148041838	Mo17
Sim99	10	H1	148041839	150873537	B73
Sim99	10	H2	0	150873537	Mo17
Sim100	10	H1	0	10856142	B73
Sim100	10	H1	10856143	133540486	Mo17
Sim100	10	H1	133540487	150873537	B73
Sim100	10	H2	0	150873537	B73
Sim101	10	H1	0	150873537	B73
Sim101	10	H2	0	2756532	Mo17
Sim101	10	H2	2756533	111649787	B73
Sim101	10	H2	111649788	131955317	Mo17
Sim101	10	H2	131955318	145411973	B73
Sim101	10	H2	145411974	150244297	Mo17
Sim101	10	H2	150244298	150873537	B73
Sim102	10	H1	0	145635822	Mo17
Sim102	10	H1	145635823	150873537	B73
Sim102	10	H2	0	135878274	B73
Sim102	10	H2	135878275	143207423	Mo17
Sim102	10	H2	143207424	150873537	B73
Sim103	10	H1	0	150873537	B73
Sim103	10	H2	0	150873537	B73
Sim104	10	H1	0	150873537	Mo17
Sim104	10	H2	0	150873537	Mo17
Sim105	10	H1	0	150873537	B73
Sim105	10	H2	0	150873537	Mo17
Sim106	10	H1	0	3688772	B73
Sim106	10	H1	3688773	4859750	Mo17
Sim106	10	H1	4859751	9439569	B73
Sim106	10	H1	9439570	150873537	Mo17
Sim106	10	H2	0	150873537	Mo17
Sim107	10	H1	0	150873537	B73
Sim107	10	H2	0	150316796	Mo17
Sim107	10	H2	150316797	150873537	B73
Sim108	10	H1	0	150873537	B73
Sim108	10	H2	0	143079568	B73
Sim108	10	H2	143079569	150873537	Mo17
Sim109	10	H1	0	6527576	B73
Sim109	10	H1	6527577	147283271	Mo17
Sim109	10	H1	147283272	150873537	B73
Sim109	10	H2	0	128475929	Mo17
Sim109	10	H2	128475930	134781028	B73
Sim109	10	H2	134781029	146866047	Mo17
Sim109	10	H2	146866048	150873537	B73
Sim110	10	H1	0	150873537	Mo17
Sim110	10	H2	0	150873537	B73
Sim111	10	H1	0	136850933	B73
Sim111	10	H1	136850934	150873537	Mo17
Sim111	10	H2	0	11104202	Mo17
Sim111	10	H2	11104203	150873537	B73
Sim112	10	H1	0	131859826	Mo17
Sim112	10	H1	131859827	150873537	B73
Sim112	10	H2	0	150873537	Mo17
Sim113	10	H1	0	72808556	Mo17
Sim113	10	H1	72808557	150873537	B73
Sim113	10	H2	0	150873537	B73
Sim114	10	H1	0	142384401	B73
Sim114	10	H1	142384402	150873537	Mo17
Sim114	10	H2	0	150873537	B73
Sim115	10	H1	0	150873537	B73
Sim115	10	H2	0	5324851	B73
Sim115	10	H2	5324852	150873537	Mo17
Sim116	10	H1	0	68955482	Mo17
Sim116	10	H1	68955483	150203596	B73
Sim116	10	H1	150203597	150873537	Mo17
Sim116	10	H2	0	150873537	Mo17
Sim117	10	H1	0	150873537	B73
Sim117	10	H2	0	126801866	B73
Sim117	10	H2	126801867	149833935	Mo17
Sim117	10	H2	149833936	150873537	B73
Sim118	10	H1	0	142697673	B73
Sim118	10	H1	142697674	150873537	Mo17
Sim118	10	H2	0	150873537	B73
Sim119	10	H1	0	142592826	B73
Sim119	10	H1	142592827	150873537	Mo17
Sim119	10	H2	0	150873537	B73
Sim120	10	H1	0	135738470	Mo17
Sim120	10	H1	135738471	150873537	B73
Sim120	10	H2	0	150873537	B73
Sim121	10	H1	0	150873537	B73
Sim121	10	H2	0	149631352	Mo17
Sim121	10	H2	149631353	150873537	B73
Sim122	10	H1	0	150873537	Mo17
Sim122	10	H2	0	147983452	Mo17
Sim122	10	H2	147983453	148754758	B73
Sim122	10	H2	148754759	150655207	Mo17
Sim122	10	H2	150655208	150873537	B73
Sim123	10	H1	0	150873537	Mo17
Sim123	10	H2	0	150873537	Mo17
Sim124	10	H1	0	150873537	Mo17
Sim124	10	H2	0	150873537	Mo17
Sim125	10	H1	0	150873537	Mo17
Sim125	10	H2	0	150873537	Mo17
Sim126	10	H1	0	150873537	Mo17
Sim126	10	H2	0	139375380	Mo17
Sim126	10	H2	139375381	150873537	B73
Sim127	10	H1	0	150873537	B73
Sim127	10	H2	0	150873537	B73
Sim128	10	H1	0	150873537	Mo17
Sim128	10	H2	0	5549564	Mo17
Sim128	10	H2	5549565	143346546	B73
Sim128	10	H2	143346547	143628146	Mo17
Sim128	10	H2	143628147	150873537	B73
Sim129	10	H1	0	150873537	Mo17
Sim129	10	H2	0	143866393	B73
Sim129	10	H2	143866394	150873537	Mo17
Sim130	10	H1	0	150873537	Mo17
Sim130	10	H2	0	150873537	Mo17
Sim131	10	H1	0	150873537	Mo17
Sim131	10	H2	0	94514066	B73
Sim131	10	H2	94514067	150873537	Mo17
Sim132	10	H1	0	150873537	B73
Sim132	10	H2	0	138901312	B73
Sim132	10	H2	138901313	150873537	Mo17
Sim133	10	H1	0	132999359	B73
Sim133	10	H1	132999360	149150508	Mo17
Sim133	10	H1	149150509	150873537	B73
Sim133	10	H2	0	150873537	B73
Sim134	10	H1	0	146403645	B73
Sim134	10	H1	146403646	148343363	Mo17
Sim134	10	H1	148343364	150873537	B73
Sim134	10	H2	0	150873537	Mo17
Sim135	10	H1	0	150873537	B73
Sim135	10	H2	0	148983245	Mo17
Sim135	10	H2	148983246	150873537	B73
Sim136	10	H1	0	150873537	B73
Sim136	10	H2	0	150873537	Mo17
Sim137	10	H1	0	147506681	Mo17
Sim137	10	H1	147506682	150873537	B73
Sim137	10	H2	0	150873537	Mo17
Sim138	10	H1	0	7501876	Mo17
Sim138	10	H1	7501877	131372730	B73
Sim138	10	H1	131372731	131786318	Mo17
Sim138	10	H1	131786319	150873537	B73
Sim138	10	H2	0	150873537	B73
Sim139	10	H1	0	144057265	Mo17
Sim139	10	H1	144057266	150873537	B73
Sim139	10	H2	0	138617556	Mo17
Sim139	10	H2	138617557	149758043	B73
Sim139	10	H2	149758044	150873537	Mo17
Sim140	10	H1	0	6381248	Mo17
Sim140	10	H1	6381249	141574007	B73
Sim140	10	H1	141574008	150873537	Mo17
Sim140	10	H2	0	148180006	Mo17
Sim140	10	H2	148180007	150873537	B73
Sim141	10	H1	0	150873537	Mo17
Sim141	10	H2	0	148753170	Mo17
Sim141	10	H2	148753171	150873537	B73
Sim142	10	H1	0	150873537	Mo17
Sim142	10	H2	0	137495899	Mo17
Sim142	10	H2	137495900	149528458	B73
Sim142	10	H2	149528459	150873537	Mo17
Sim143	10	H1	0	142024403	Mo17
Sim143	10	H1	142024404	147080713	B73
Sim143	10	H1	147080714	150414208	Mo17
Sim143	10	H1	150414209	150873537	B73
Sim143	10	H2	0	138580338	Mo17
Sim143	10	H2	138580339	142417862	B73
Sim143	10	H2	142417863	150873537	Mo17
Sim144	10	H1	0	148593308	B73
Sim144	10	H1	148593309	150873537	Mo17
Sim144	10	H2	0	150109619	B73
Sim144	10	H2	150109620	150873537	Mo17
Sim145	10	H1	0	150873537	B73
Sim145	10	H2	0	150873537	B73
Sim146	10	H1	0	81039262	B73
Sim146	10	H1	81039263	150873537	Mo17
Sim146	10	H2	0	150873537	B73
Sim147	10	H1	0	150873537	Mo17
Sim147	10	H2	0	150873537	B73
Sim148	10	H1	0	150873537	B73
Sim148	10	H2	0	122976668	Mo17
Sim148	10	H2	122976669	150873537	B73
Sim149	10	H1	0	150873537	B73
Sim149	10	H2	0	150873537	Mo17
Sim150	10	H1	0	150873537	B73
Sim150	10	H2	0	146444593	Mo17
Sim150	10	H2	146444594	150873537	B73
Sim151	10	H1	0	120010581	B73
Sim151	10	H1	120010582	146810663	Mo17
Sim151	10	H1	146810664	150873537	B73
Sim151	10	H2	0	150873537	B73
Sim152	10	H1	0	142608861	B73
Sim152	10	H1	142608862	150873537	Mo17
Sim152	10	H2	0	135944443	Mo17
Sim152	10	H2	135944444	141270192	B73
Sim152	10	H2	141270193	141357746	Mo17
Sim152	10	H2	141357747	150873537	B73
Sim153	10	H1	0	150873537	B73
Sim153	10	H2	0	150873537	B73
Sim154	10	H1	0	150873537	Mo17
Sim154	10	H2	0	150873537	Mo17
Sim155	10	H1	0	136091174	B73
Sim155	10	H1	136091175	142885682	Mo17
Sim155	10	H1	142885683	150873537	B73
Sim155	10	H2	0	150873537	Mo17
Sim156	10	H1	0	47377505	Mo17
Sim156	10	H1	47377506	118799293	B73
Sim156	10	H1	118799294	146466248	Mo17
Sim156	10	H1	146466249	150873537	B73
Sim156	10	H2	0	124297284	Mo17
Sim156	10	H2	124297285	146295213	B73
Sim156	10	H2	146295214	147566632	Mo17
Sim156	10	H2	147566633	150873537	B73
Sim157	10	H1	0	137526786	B73
Sim157	10	H1	137526787	150873537	Mo17
Sim157	10	H2	0	133283951	B73
Sim157	10	H2	133283952	150873537	Mo17
Sim158	10	H1	0	147646273	B73
Sim158	10	H1	147646274	150873537	Mo17
Sim158	10	H2	0	137032077	B73
Sim158	10	H2	137032078	150873537	Mo17
Sim159	10	H1	0	140134354	B73
Sim159	10	H1	140134355	150873537	Mo17
Sim159	10	H2	0	150873537	Mo17
Sim160	10	H1	0	150873537	B73
Sim160	10	H2	0	150873537	B73
Sim161	10	H1	0	150873537	B73
Sim161	10	H2	0	150873537	B73
Sim162	10	H1	0	135520627	Mo17
Sim162	10	H1	135520628	150873537	B73
Sim162	10	H2	0	143377530	B73
Sim162	10	H2	143377531	150873537	Mo17
Sim163	10	H1	0	150873537	Mo17
Sim163	10	H2	0	4946336	Mo17
Sim163	10	H2	4946337	5975340	B73
Sim163	10	H2	5975341	138636172	Mo17
Sim163	10	H2	138636173	150873537	B73
Sim164	10	H1	0	3407664	Mo17
Sim164	10	H1	3407665	4580470	B73
Sim164	10	H1	4580471	127019068	Mo17
Sim164	10	H1	127019069	150873537	B73
Sim164	10	H2	0	149640479	Mo17
Sim164	10	H2	149640480	150873537	B73
Sim165	10	H1	0	150873537	Mo17
Sim165	10	H2	0	89542001	B73
Sim165	10	H2	89542002	150873537	Mo17
Sim166	10	H1	0	150873537	B73
Sim166	10	H2	0	150873537	Mo17
Sim167	10	H1	0	73621043	B73
Sim167	10	H1	73621044	150873537	Mo17
Sim167	10	H2	0	150873537	Mo17
Sim168	10	H1	0	147419028	B73
Sim168	10	H1	147419029	150873537	Mo17
Sim168	10	H2	0	150873537	B73
Sim169	10	H1	0	80311648	Mo17
Sim169	10	H1	80311649	141927466	B73
Sim169	10	H1	141927467	142015224	Mo17
Sim169	10	H1	142015225	149412983	B73
Sim169	10	H1	149412984	150873537	Mo17
Sim169	10	H2	0	150873537	Mo17
Sim170	10	H1	0	130373198	Mo17
Sim170	10	H1	130373199	150873537	B73
Sim170	10	H2	0	150873537	Mo17
Sim171	10	H1	0	150873537	Mo17
Sim171	10	H2	0	150873537	B73
Sim172	10	H1	0	150873537	B73
Sim172	10	H2	0	150873537	Mo17
Sim173	10	H1	0	137907089	B73
Sim173	10	H1	137907090	143553612	Mo17
Sim173	10	H1	143553613	150873537	B73
Sim173	10	H2	0	150578481	B73
Sim173	10	H2	150578482	150873537	Mo17
Sim174	10	H1	0	150873537	B73
Sim174	10	H2	0	137131535	B73
Sim174	10	H2	137131536	147251100	Mo17
Sim174	10	H2	147251101	147908391	B73
Sim174	10	H2	147908392	150873537	Mo17
Sim175	10	H1	0	150873537	B73
Sim175	10	H2	0	148074086	Mo17
Sim175	10	H2	148074087	150873537	B73
Sim176	10	H1	0	80865702	Mo17
Sim176	10	H1	80865703	138027105	B73
Sim176	10	H1	138027106	149595170	Mo17
Sim176	10	H1	149595171	150873537	B73
Sim176	10	H2	0	150873537	Mo17
Sim177	10	H1	0	148153045	B73
Sim177	10	H1	148153046	150873537	Mo17
Sim177	10	H2	0	150873537	B73
Sim178	10	H1	0	87465355	Mo17
Sim178	10	H1	87465356	150873537	B73
Sim178	10	H2	0	150873537	Mo17
Sim179	10	H1	0	13191744	Mo17
Sim179	10	H1	13191745	99473635	B73
